EXCHANGE,sequence,tradedate,tradetime,securitycode,orderid,dealsource,dealsourcedecoded,exchangeinfo,matchgroupid,nationalbidpricesnapshot,nationalofferpricesnapshot,tradeprice,quantity,side,sidedecoded,participantid,passiveaggressive,row_num
3,3113766,2024-09-05,1725494536001032398,110621,7904398175942027808,20,Auction,ON Market,7904794000123498617,3330,3340,3340,115,1,Buy,144,0,143
3,3113767,2024-09-05,1725494536001032398,110621,7904794000123921152,20,Auction,ON Market,7904794000123498617,3330,3340,3340,115,2,Sell,47,0,144
3,3113768,2024-09-05,1725494536001032398,110621,7904398175942027808,20,Auction,ON Market,7904794000123498618,3330,3340,3340,1,1,Buy,144,0,145
3,3113769,2024-09-05,1725494536001032398,110621,7904794000123944053,20,Auction,ON Market,7904794000123498618,3330,3340,3340,1,2,Sell,47,0,146
3,3113770,2024-09-05,1725494536001032398,110621,7904398175942027808,20,Auction,ON Market,7904794000123498619,3330,3340,3340,527,1,Buy,144,0,147
3,3113771,2024-09-05,1725494536001032398,110621,7904794000123953322,20,Auction,ON Market,7904794000123498619,3330,3340,3340,527,2,Sell,47,0,148
3,3113772,2024-09-05,1725494536001032398,110621,7904398175942027808,20,Auction,ON Market,7904794000123498620,3330,3340,3340,949,1,Buy,144,0,149
3,3113773,2024-09-05,1725494536001032398,110621,7904794000124029368,20,Auction,ON Market,7904794000123498620,3330,3340,3340,949,2,Sell,47,0,150
3,3113774,2024-09-05,1725494536001032398,110621,7904398175942263620,20,Auction,ON Market,7904794000123498621,3330,3340,3340,3000,1,Buy,69,0,151
3,3113775,2024-09-05,1725494536001032398,110621,7904794000124029368,20,Auction,ON Market,7904794000123498621,3330,3340,3340,3000,2,Sell,47,0,152
3,3113776,2024-09-05,1725494536001032398,110621,7904398175943619595,20,Auction,ON Market,7904794000123498622,3330,3340,3340,2900,1,Buy,69,0,153
3,3113777,2024-09-05,1725494536001032398,110621,7904794000124029368,20,Auction,ON Market,7904794000123498622,3330,3340,3340,2900,2,Sell,47,0,154
3,3113778,2024-09-05,1725494536001032398,110621,7904398175945623955,20,Auction,ON Market,7904794000123498623,3330,3340,3340,2949,1,Buy,69,0,155
3,3113779,2024-09-05,1725494536001032398,110621,7904794000124029368,20,Auction,ON Market,7904794000123498623,3330,3340,3340,2949,2,Sell,47,0,156
3,3113780,2024-09-05,1725494536001032398,110621,7904398175940428282,20,Auction,ON Market,7904794000123498624,3330,3340,3340,887,1,Buy,69,0,157
3,3113781,2024-09-05,1725494536001032398,110621,7904794000124029368,20,Auction,ON Market,7904794000123498624,3330,3340,3340,887,2,Sell,47,0,158
3,3113782,2024-09-05,1725494536001032398,110621,7904398175940941381,20,Auction,ON Market,7904794000123498625,3330,3340,3340,348,1,Buy,69,0,159
3,3113783,2024-09-05,1725494536001032398,110621,7904794000124029368,20,Auction,ON Market,7904794000123498625,3330,3340,3340,348,2,Sell,47,0,160
3,3113784,2024-09-05,1725494536001032398,110621,7904398175940941381,20,Auction,ON Market,7904794000123498626,3330,3340,3340,2408,1,Buy,69,0,161
3,3113785,2024-09-05,1725494536001032398,110621,7904794000124090749,20,Auction,ON Market,7904794000123498626,3330,3340,3340,2408,2,Sell,146,0,162
3,3113786,2024-09-05,1725494536001032398,110621,7904398175940941381,20,Auction,ON Market,7904794000123498627,3330,3340,3340,244,1,Buy,69,0,163
3,3113787,2024-09-05,1725494536001032398,110621,7904794000124049398,20,Auction,ON Market,7904794000123498627,3330,3340,3340,244,2,Sell,146,0,164
3,3113788,2024-09-05,1725494536001032398,110621,7904398175942455363,20,Auction,ON Market,7904794000123498628,3330,3340,3340,130,1,Buy,54,0,165
3,3113789,2024-09-05,1725494536001032398,110621,7904794000124049398,20,Auction,ON Market,7904794000123498628,3330,3340,3340,130,2,Sell,146,0,166
3,3113790,2024-09-05,1725494536001032398,110621,7904398175943691929,20,Auction,ON Market,7904794000123498629,3330,3340,3340,877,1,Buy,27,0,167
3,3113791,2024-09-05,1725494536001032398,110621,7904794000124049398,20,Auction,ON Market,7904794000123498629,3330,3340,3340,877,2,Sell,146,0,168
3,3113792,2024-09-05,1725494536001032398,110621,7904398175943691929,20,Auction,ON Market,7904794000123498630,3330,3340,3340,1623,1,Buy,27,0,169
3,3113793,2024-09-05,1725494536001032398,110621,7904794000124029690,20,Auction,ON Market,7904794000123498630,3330,3340,3340,1623,2,Sell,146,0,170
3,3113794,2024-09-05,1725494536001032398,110621,7904398175944398622,20,Auction,ON Market,7904794000123498631,3330,3340,3340,293,1,Buy,27,0,171
3,3113795,2024-09-05,1725494536001032398,110621,7904794000124029690,20,Auction,ON Market,7904794000123498631,3330,3340,3340,293,2,Sell,146,0,172
3,3113796,2024-09-05,1725494536001032398,110621,7904794000123738921,20,Auction,ON Market,7904794000123498632,3330,3340,3340,900,1,Buy,284,0,173
3,3113797,2024-09-05,1725494536001032398,110621,7904794000124029690,20,Auction,ON Market,7904794000123498632,3330,3340,3340,900,2,Sell,146,0,174
3,3113798,2024-09-05,1725494536001032398,110621,7904794000123769952,20,Auction,ON Market,7904794000123498633,3330,3340,3340,127,1,Buy,76,0,175
3,3113799,2024-09-05,1725494536001032398,110621,7904794000124029690,20,Auction,ON Market,7904794000123498633,3330,3340,3340,127,2,Sell,146,0,176
3,3113800,2024-09-05,1725494536001032398,110621,7904794000123769952,20,Auction,ON Market,7904794000123498634,3330,3340,3340,133,1,Buy,76,0,177
3,3113801,2024-09-05,1725494536001032398,110621,7904794000123986931,20,Auction,ON Market,7904794000123498634,3330,3340,3340,133,2,Sell,146,0,178
